ID,Alpha,Beta,Gamma
1285,465000,12,53734395
1939,518000,1,47158870
2572,120000,0,67550043
2215,0,0,39248566
1497,301000,0,21652303
1330,598000,1,62202284
4601,745600,3,43436760
1789,201000,1,48486040
1770,65000,0,50212281
1045,82000,0,59803359
1388,75000,0,51396290
1700,0,0,36255464
4882,175000,0,55911001
1484,150000,1,44045115
4796,126000,0,61557515
2097,0,0,26614090
2560,0,0,58624675
0,0,0,0
4763,157000,0,56634309
5944,206000,0,58880813
5890,545000,2,46276512
1509,916000,5,46073320
1152,329400,2,53577111
4683,355200,1,46927310
4759,20000,0,56921409
2027,911000,4,37435797
5955,270000,1,51548524
1044,57000,0,41419816
3043,245800,0,59636270
1730,1710000,7,25731237
1416,143000,0,26994250
2001,0,0,58418457
1715,90000,0,28033230
1708,791200,1,37764247
2802,482200,2,55507936
2852,150000,0,48805696
4788,102000,0,47260299
1376,0,0,38265765
1109,0,0,58138052
2928,15000,0,54901773
1154,135000,0,23674993
2655,180000,0,60031097
2980,234000,0,38463492
5924,0,0,60235460
4869,0,0,61091558
1280,15000,0,21755031
1040,180000,1,45622486
1066,28000,0,49041054
4808,570600,1,40622452
1148,138800,1,34392490
2200,0,0,39213047
5975,20000,0,59889446
4884,15000,0,47872271
1490,42200,0,47462913
1045,0,0,65053484
4814,60000,0,51951918
0,0,0,0
1739,0,0,36565271
5851,56000,0,61974142
1509,1458000,6,63714778
1645,598000,0,41895760
1930,336000,3,39381073
1708,842000,2,28075953
1519,150000,0,41106234
2182,26000,0,34964844
1002,728000,2,39669113
1152,15000,0,41391834
2244,5000,0,50731776
1753,832000,4,60955908
4566,393000,2,48280713
3044,188000,1,46825910
1235,0,0,35977444
1149,150000,1,42005102
1937,15000,0,41793279
1730,462000,0,52133063
2681,60000,0,60996127
2073,0,0,24633048
1989,30000,0,38167194
2809,445000,5,43181492
2178,312000,0,38462633
3043,0,0,56501832
1170,400000,1,38435975
2725,994000,21,60233562
1651,75000,0,54470744
2200,0,0,14287302
4681,681000,2,45546981
2156,172000,1,51875748
1042,295000,0,43895610
3041,0,0,47232634
1756,405000,1,41416608
1877,90000,0,33270360
2721,702000,2,44586487
1592,0,0,55718014
4606,297000,3,58093814
1935,35000,0,59105299
4793,230000,1,43536071
4808,56000,0,62172573
2138,384000,1,34281923
1066,114000,0,60021669
2170,469000,1,47188909
1497,327000,8,54531089
3047,502000,1,28326517
1233,1235000,7,48632153
1696,0,0,27753187
1045,47000,0,52008694
1637,0,0,42573210
1388,72000,0,42274632
4242,15000,0,60599421
1119,0,0,62834587
2560,172000,0,59642443
0,0,0,0
1782,139000,0,44757742
1015,663600,4,40624380
1724,963000,6,32542057
1996,0,0,40806796
1817,0,0,39294472
1005,532000,4,46264010
4608,670000,2,45939949
1152,60000,0,58956950
4624,223000,0,61416647
2505,172000,0,50439352
4568,443400,0,48058309
1014,180000,1,32484776
2200,278000,0,51949330
1730,1922000,6,45381877
1228,336000,1,42696198
1947,123000,0,54273190
2762,184000,1,40341171
1033,458000,2,59648009
4561,88000,0,63340858
1651,30000,0,57367969
2189,334000,0,44050988
2001,0,0,65012979
1106,188000,0,40391879
2990,0,0,24630694
2749,485000,1,42042656
1365,0,0,44455290
4768,530000,3,54353130
2721,74000,0,44036465
2710,0,0,25595509
1915,799000,2,54925524
1510,101000,0,65122988
2197,90000,0,34311305
1838,260000,1,36178296
4265,0,0,25634482
1359,57000,1,44365778
2513,50000,0,22077642
2076,291000,2,48224754
1243,52000,0,49135180
1756,809000,1,35772251
1727,10000,0,58344531
1785,0,0,45852899
2935,130000,3,51282822
1414,745000,2,64216828
2719,0,0,39304950
1267,102000,0,30409636
1038,473000,2,42841217
2666,285000,1,58792066
2685,129000,0,52788788
1330,356000,0,56623329
1634,99000,0,53350410
2139,130000,0,53877779
2158,51000,0,52906695
1180,459000,1,52169664
1050,144000,0,42632522
2771,0,0,59572447
1045,624000,1,59822173
2207,15000,0,39676811
1246,23000,0,26951089
1346,385000,1,55112039
1750,45000,0,46446550
0,0,0,0
1724,590000,1,55856883
4763,167000,0,49367919
1015,1356000,5,53851100
5944,168000,0,57760626
5912,45000,0,58348028
1152,165000,0,46874207
2027,230000,1,45571225
4774,500000,2,61500809
4230,222200,0,48016324
1112,517800,2,29284515
2085,60000,0,46028944
1989,201000,1,39481435
2584,0,0,37367577
2050,733400,3,53629743
2557,214000,0,40096095
3039,6000,0,49191775
1246,0,0,26790952
4834,363000,1,38006343
2594,68000,0,22735859
2816,795000,2,42270773
2749,0,0,60110573
2898,160000,0,42101019
2047,605800,1,28923365
2970,302200,0,22264055
1040,134800,0,38159796
1133,129000,0,46408131
1450,126000,0,57798641
1148,302800,0,66509798
4819,0,0,31242704
2685,276000,1,57533417
1475,0,0,53114629
2951,326000,1,51130932
1322,96000,0,41312102
2097,0,0,63614975
1050,0,0,13265722
5948,62000,0,45424734
1165,0,0,25164422
1537,243000,0,61099987
1968,15000,0,44869183
0,0,0,0
1708,0,0,26426261
2128,174000,0,38445676
2182,175000,0,64833523
1406,201000,1,40485143
1152,153000,0,27802549
1335,454000,3,40335972
4774,1912000,7,53906351
2244,279000,1,61618422
1353,119000,0,59400047
1684,136000,0,33888062
4852,85000,0,49756008
1916,214000,3,53712822
1730,168000,0,47770052
2137,0,0,26580606
1989,2275000,10,29722344
2050,889000,7,27845063
2557,25000,0,49766137
1255,236000,1,59247032
1149,403000,0,41440536
1042,5000,0,41053819
2584,129000,0,56667789
1256,62000,0,64010806
4768,200000,1,48848409
3041,0,0,41715514
1651,240000,0,39084031
2083,260000,1,38613646
2509,702000,2,35526140
1213,505000,6,40387289
1877,390000,0,51873821
1434,360000,1,33357339
1208,459000,3,62730662
2721,91000,0,34431513
4238,494000,4,47238188
1357,444000,2,48248637
1232,339000,1,36511957
4606,573000,2,60127600
2170,355000,2,38860137
2704,118000,0,51018753
3082,0,0,45541969
1018,78000,0,55258684
1330,590000,2,44021016
1785,389400,1,27085801
2237,0,0,45648844
1544,0,0,31953488
2103,210000,0,31781253
1700,19000,0,46873689
2045,60000,0,38512239
1537,0,0,46576952
1135,0,0,37992995
0,0,0,0
1137,78000,0,43074644
1724,899000,3,62442113
5944,1001000,3,29993250
2640,364000,3,40959683
5989,184000,0,39063067
1015,81600,0,54396293
1409,363000,0,63303171
5890,844000,1,42375220
2816,255000,0,20205761
4774,180000,1,36457387
1112,5000,0,41028914
1519,0,0,45682968
4015,30000,0,33057096
1684,15000,0,61804716
2047,151000,1,51454760
2749,0,0,59735436
2050,164000,1,33835991
2594,654000,2,59321536
1081,304000,0,53276761
1086,296000,0,47138666
2557,154600,0,53106474
2584,128000,0,35078442
1387,0,0,41010901
2249,246000,0,55286588
2738,35000,0,31668660
1213,195000,1,26473488
1450,231000,1,54786999
1280,196000,1,42271411
5850,268000,0,56750035
5969,45600,0,61763772
1824,245000,0,42695043
1040,585000,0,32013950
4632,153000,0,36810312
2905,0,0,28500063
1257,26000,0,27903532
2097,157400,0,42813085
1756,747000,3,63360999
4609,435000,2,44960650
1537,0,0,54676294
0,0,0,0
1137,0,0,40436582
1724,258000,1,60838221
2640,1112000,5,50929749
1782,383000,4,57502736
1002,752200,8,41136106
1355,330000,1,41083851
1278,417000,1,47235773
2027,60000,0,25663284
1959,390000,2,49099174
1353,30000,0,37789996
1044,0,0,26880858
1730,2268000,11,41821866
1228,516000,2,46806947
2050,0,0,44008175
2073,231000,0,56275474
4655,190000,0,64910922
1001,95000,0,55362903
2562,183000,0,20911838
1009,980000,3,51578389
2083,255000,3,32022156
4812,0,0,63489417
1651,30000,0,41690639
1745,210000,0,43359805
1627,159000,0,51431203
1365,880000,5,22649653
2249,257000,0,46564195
1749,366000,0,56961065
2137,0,0,25685436
1870,484000,1,33231572
1055,311000,0,50651403
4263,195000,1,57048904
1039,0,0,49182622
2749,153000,0,58079537
1030,864000,5,59375087
3082,0,0,27926623
4774,195000,0,64418339
1766,581000,0,40885881
1225,457000,2,54261989
4794,40000,0,59135693
1759,768000,5,64827166
1066,0,0,55384028
2509,279000,1,46519191
1301,168000,0,44583972
1864,206000,1,41384097
1659,15000,0,50149112
1413,0,0,40736598
